control,V,regime,K,action,count,total
channel0,0,PHYSICAL_SHIFT,16,15,3,240
channel0,0,PHYSICAL_SHIFT,16,18,18,240
channel0,0,PHYSICAL_SHIFT,16,20,4,240
channel0,0,PHYSICAL_SHIFT,16,22,19,240
channel0,0,PHYSICAL_SHIFT,16,24,7,240
channel0,0,PHYSICAL_SHIFT,16,26,42,240
channel0,0,PHYSICAL_SHIFT,16,28,4,240
channel0,0,PHYSICAL_SHIFT,16,30,36,240
channel0,0,PHYSICAL_SHIFT,16,32,2,240
channel0,0,PHYSICAL_SHIFT,16,34,15,240
channel0,0,PHYSICAL_SHIFT,16,36,1,240
channel0,0,PHYSICAL_SHIFT,16,38,8,240
channel0,0,PHYSICAL_SHIFT,16,42,22,240
channel0,0,PHYSICAL_SHIFT,16,46,20,240
channel0,0,PHYSICAL_SHIFT,32,5,11,240
channel0,0,PHYSICAL_SHIFT,32,9,3,240
channel0,0,PHYSICAL_SHIFT,32,13,8,240
channel0,0,PHYSICAL_SHIFT,32,18,17,240
channel0,0,PHYSICAL_SHIFT,32,22,15,240
channel0,0,PHYSICAL_SHIFT,32,26,88,240
channel0,0,PHYSICAL_SHIFT,32,30,69,240
channel0,0,PHYSICAL_SHIFT,32,34,2,240
channel0,0,PHYSICAL_SHIFT,32,38,8,240
channel0,0,PHYSICAL_SHIFT,32,42,9,240
channel0,0,PHYSICAL_SHIFT,32,46,10,240
channel0,0,PHYSICAL_SHIFT,48,22,9,240
channel0,0,PHYSICAL_SHIFT,48,26,180,240
channel0,0,PHYSICAL_SHIFT,48,30,51,240
channel0,1,NOMINAL,1,0,240,240
channel0,1,NOMINAL,2,0,209,240
channel0,1,NOMINAL,2,7,6,240
channel0,1,NOMINAL,2,11,6,240
channel0,1,NOMINAL,2,16,6,240
channel0,1,NOMINAL,2,20,5,240
channel0,1,NOMINAL,2,32,5,240
channel0,1,NOMINAL,2,36,3,240
channel0,1,NOMINAL,4,0,149,240
channel0,1,NOMINAL,4,7,13,240
channel0,1,NOMINAL,4,11,13,240
channel0,1,NOMINAL,4,16,18,240
channel0,1,NOMINAL,4,20,18,240
channel0,1,NOMINAL,4,32,14,240
channel0,1,NOMINAL,4,36,15,240
channel0,1,NOMINAL,8,0,77,240
channel0,1,NOMINAL,8,7,22,240
channel0,1,NOMINAL,8,11,15,240
channel0,1,NOMINAL,8,16,36,240
channel0,1,NOMINAL,8,20,42,240
channel0,1,NOMINAL,8,32,22,240
channel0,1,NOMINAL,8,36,26,240
channel0,1,NOMINAL,16,0,20,240
channel0,1,NOMINAL,16,7,18,240
channel0,1,NOMINAL,16,11,12,240
channel0,1,NOMINAL,16,16,55,240
channel0,1,NOMINAL,16,20,81,240
channel0,1,NOMINAL,16,32,19,240
channel0,1,NOMINAL,16,36,35,240
channel0,1,NOMINAL,32,7,21,240
channel0,1,NOMINAL,32,16,44,240
channel0,1,NOMINAL,32,20,150,240
channel0,1,NOMINAL,32,32,1,240
channel0,1,NOMINAL,32,36,24,240
channel0,1,NOMINAL,48,20,240,240
channel0,1,PHYSICAL_SHIFT,1,0,240,240
channel0,1,PHYSICAL_SHIFT,2,0,209,240
channel0,1,PHYSICAL_SHIFT,2,7,6,240
channel0,1,PHYSICAL_SHIFT,2,11,6,240
channel0,1,PHYSICAL_SHIFT,2,16,6,240
channel0,1,PHYSICAL_SHIFT,2,20,5,240
channel0,1,PHYSICAL_SHIFT,2,32,5,240
channel0,1,PHYSICAL_SHIFT,2,36,3,240
channel0,1,PHYSICAL_SHIFT,4,0,149,240
channel0,1,PHYSICAL_SHIFT,4,7,13,240
channel0,1,PHYSICAL_SHIFT,4,11,13,240
channel0,1,PHYSICAL_SHIFT,4,16,18,240
channel0,1,PHYSICAL_SHIFT,4,20,18,240
channel0,1,PHYSICAL_SHIFT,4,32,14,240
channel0,1,PHYSICAL_SHIFT,4,36,15,240
channel0,1,PHYSICAL_SHIFT,8,0,77,240
channel0,1,PHYSICAL_SHIFT,8,7,22,240
channel0,1,PHYSICAL_SHIFT,8,11,15,240
channel0,1,PHYSICAL_SHIFT,8,16,36,240
channel0,1,PHYSICAL_SHIFT,8,20,42,240
