root_seed,regime,group_B_lower,group_B_upper,horizon,threshold,B
1000008,PHYSICAL_SHIFT,500,650,16,400,0.2734375
1000009,NOMINAL,400,550,8,300,0.0
1000009,NOMINAL,400,550,8,350,0.046875
1000009,NOMINAL,400,550,8,400,0.21875
1000009,NOMINAL,400,550,12,300,0.09375
1000009,NOMINAL,400,550,12,350,0.19791666666666666
1000009,NOMINAL,400,550,12,400,0.3125
1000009,NOMINAL,400,550,16,300,0.1953125
1000009,NOMINAL,400,550,16,350,0.2734375
1000009,NOMINAL,400,550,16,400,0.359375
1000009,NOMINAL,450,600,8,300,0.0
1000009,NOMINAL,450,600,8,350,0.0
1000009,NOMINAL,450,600,8,400,0.046875
1000009,NOMINAL,450,600,12,300,0.0
1000009,NOMINAL,450,600,12,350,0.09375
1000009,NOMINAL,450,600,12,400,0.19791666666666666
1000009,NOMINAL,450,600,16,300,0.1015625
1000009,NOMINAL,450,600,16,350,0.1953125
1000009,NOMINAL,450,600,16,400,0.2734375
1000009,NOMINAL,500,650,8,300,0.0
1000009,NOMINAL,500,650,8,350,0.0
1000009,NOMINAL,500,650,8,400,0.0
1000009,NOMINAL,500,650,12,300,0.0
1000009,NOMINAL,500,650,12,350,0.0
1000009,NOMINAL,500,650,12,400,0.09375
1000009,NOMINAL,500,650,16,300,0.0234375
1000009,NOMINAL,500,650,16,350,0.1015625
1000009,NOMINAL,500,650,16,400,0.1953125
1000009,PHYSICAL_SHIFT,400,550,8,300,0.03125
1000009,PHYSICAL_SHIFT,400,550,8,350,0.109375
1000009,PHYSICAL_SHIFT,400,550,8,400,0.21875
1000009,PHYSICAL_SHIFT,400,550,12,300,0.1875
1000009,PHYSICAL_SHIFT,400,550,12,350,0.23958333333333334
1000009,PHYSICAL_SHIFT,400,550,12,400,0.3125
1000009,PHYSICAL_SHIFT,400,550,16,300,0.265625
1000009,PHYSICAL_SHIFT,400,550,16,350,0.3046875
1000009,PHYSICAL_SHIFT,400,550,16,400,0.359375
1000009,PHYSICAL_SHIFT,450,600,8,300,0.0
